node,0
node,1
node,2
node,3
node,4
link,0,1,1Mbps,1109.91ns,wireless,
22448076,phy-recv,1,-1
22448158,mac-send,0,-1
22449195,mac-recv,1,-1
22449196,mac-recv,1,-1
22449196,mac-recv,1,-1
22449196,mac-recv,1,-1
22449386,phy-send,0,-1
22449386,phy-recv,0,-1
22449387,phy-recv,0,-1
22449387,phy-recv,0,-1
22449387,phy-recv,0,-1
22450506,mac-recv,0,-1
22450507,mac-recv,0,-1
22450507,mac-recv,0,-1
22450507,mac-recv,0,-1
24171695,mac-send,3,-1
24171695,phy-send,3,-1
24171696,phy-recv,3,-1
24171696,phy-recv,3,-1
24171696,phy-recv,3,-1
24171697,phy-recv,3,-1
24172816,mac-recv,3,-1
24172816,mac-recv,3,-1
24172816,mac-recv,3,-1
24172817,mac-recv,3,-1
24186987,mac-send,0,-1
24186987,phy-send,0,-1
24186988,phy-recv,0,-1
24186988,phy-recv,0,-1
24186988,phy-recv,0,-1
24186988,phy-recv,0,-1
24188108,mac-recv,0,-1
24188108,mac-recv,0,-1
24188108,mac-recv,0,-1
24188108,mac-recv,0,-1
24197025,mac-send,1,-1
24197025,phy-send,1,-1
24197025,phy-recv,1,-1
24197026,phy-recv,1,-1
24197026,phy-recv,1,-1
24197027,phy-recv,1,-1
24197110,mac-send,2,-1
24198145,mac-recv,1,-1
24198146,mac-recv,1,-1
24198146,mac-recv,1,-1
24198147,mac-recv,1,-1
24198495,phy-send,2,-1
24198496,phy-recv,2,-1
24198496,phy-recv,2,-1
24198496,phy-recv,2,-1
24198497,phy-recv,2,-1
24199616,mac-recv,2,-1
24199616,mac-recv,2,-1
24199616,mac-recv,2,-1
24199617,mac-recv,2,-1
24356837,mac-send,4,-1
24356837,phy-send,4,-1
24356837,phy-recv,4,-1
24356837,phy-recv,4,-1
24356838,phy-recv,4,-1
24356838,phy-recv,4,-1
24357957,mac-recv,4,-1
24357957,mac-recv,4,-1
24357958,mac-recv,4,-1
24357958,mac-recv,4,-1
26082959,mac-send,3,-1
26082959,phy-send,3,-1
26082959,phy-recv,3,-1
26082959,phy-recv,3,-1
26082960,phy-recv,3,-1
26082960,phy-recv,3,-1
26084079,mac-recv,3,-1
26084079,mac-recv,3,-1
26084080,mac-recv,3,-1
26084080,mac-recv,3,-1
26209004,mac-send,4,-1
26209004,phy-send,4,-1
26209005,phy-recv,4,-1
26209005,phy-recv,4,-1
26209005,phy-recv,4,-1
26209005,phy-recv,4,-1
26210125,mac-recv,4,-1
26210125,mac-recv,4,-1
26210125,mac-recv,4,-1
26210125,mac-recv,4,-1
26252476,mac-send,1,-1
26252476,phy-send,1,-1
26252476,phy-recv,1,-1
26252477,phy-recv,1,-1
26252477,phy-recv,1,-1
26252478,phy-recv,1,-1
26253596,mac-recv,1,-1
26253597,mac-recv,1,-1
26253597,mac-recv,1,-1
26253598,mac-recv,1,-1
26357020,mac-send,0,-1
26357020,phy-send,0,-1
26357021,phy-recv,0,-1
26357021,phy-recv,0,-1
26357021,phy-recv,0,-1
26357022,phy-recv,0,-1
26358141,mac-recv,0,-1
26358141,mac-recv,0,-1
26358141,mac-recv,0,-1
26358142,mac-recv,0,-1
26415957,mac-send,2,-1
26415957,phy-send,2,-1
26415958,phy-recv,2,-1
26415958,phy-recv,2,-1
26415958,phy-recv,2,-1
26415959,phy-recv,2,-1
26417078,mac-recv,2,-1
26417078,mac-recv,2,-1
26417078,mac-recv,2,-1
26417079,mac-recv,2,-1
28029250,mac-send,3,-1
28029250,phy-send,3,-1
28029251,phy-recv,3,-1
28029251,phy-recv,3,-1
28029252,phy-recv,3,-1
28029252,phy-recv,3,-1
28030371,mac-recv,3,-1
28030371,mac-recv,3,-1
28030372,mac-recv,3,-1
28030372,mac-recv,3,-1
28031461,mac-send,0,-1
28031461,phy-send,0,-1
28031461,phy-recv,0,-1
28031461,phy-recv,0,-1
28031461,phy-recv,0,-1
28031462,phy-recv,0,-1
28032581,mac-recv,0,-1
28032581,mac-recv,0,-1
28032581,mac-recv,0,-1
28032582,mac-recv,0,-1
28255793,mac-send,2,-1
28255793,phy-send,2,-1
28255793,phy-recv,2,-1
28255794,phy-recv,2,-1
28255794,phy-recv,2,-1
28255794,phy-recv,2,-1
28256913,mac-recv,2,-1
28256914,mac-recv,2,-1
28256914,mac-recv,2,-1
28256914,mac-recv,2,-1
28278940,mac-send,1,-1
28278940,phy-send,1,-1
28278940,phy-recv,1,-1
28278941,phy-recv,1,-1
28278941,phy-recv,1,-1
28278942,phy-recv,1,-1
28280060,mac-recv,1,-1
28280061,mac-recv,1,-1
28280061,mac-recv,1,-1
28280062,mac-recv,1,-1
28379702,mac-send,4,-1
28379702,phy-send,4,-1
28379703,phy-recv,4,-1
28379703,phy-recv,4,-1
28379703,phy-recv,4,-1
28379703,phy-recv,4,-1
28380823,mac-recv,4,-1
28380823,mac-recv,4,-1
28380823,mac-recv,4,-1
28380823,mac-recv,4,-1
30000000,udp-send,2,4
30000000,mac-send,-1,-1
30000000,phy-send,-1,-1
30000000,phy-recv,-1,-1
30000000,phy-recv,-1,-1
30000001,phy-recv,-1,-1
30000001,phy-recv,-1,-1
30000704,mac-recv,-1,-1
30000704,mac-recv,-1,-1
30000705,mac-recv,-1,-1
30000705,mac-send,-1,-1
30000705,mac-recv,-1,-1
30000755,phy-send,-1,-1
30000755,phy-recv,-1,-1
30000755,phy-recv,-1,-1
30000756,phy-recv,-1,-1
30000756,phy-recv,-1,-1
30001460,mac-recv,-1,-1
30001460,mac-send,2,4
30001470,phy-send,-1,-1
30001470,phy-recv,-1,-1
30001470,phy-recv,-1,-1
30001471,phy-recv,-1,-1
30001471,phy-recv,-1,-1
30002184,phy-send,2,4
30002184,phy-recv,2,4
30002184,phy-recv,2,4
30002185,phy-recv,2,4
30002185,phy-recv,2,4
30006889,mac-recv,2,4
30006889,udp-recv,2,4
30006899,phy-send,-1,-1
30006899,phy-recv,-1,-1
30006899,phy-recv,-1,-1
30006900,phy-recv,-1,-1
30006900,phy-recv,-1,-1
30114244,mac-send,1,-1
30114244,phy-send,1,-1
30114244,phy-recv,1,-1
30114245,phy-recv,1,-1
30114245,phy-recv,1,-1
30114245,phy-recv,1,-1
30115364,mac-recv,1,-1
30115365,mac-recv,1,-1
30115365,mac-recv,1,-1
30115365,mac-recv,1,-1
30130902,mac-send,4,-1
30130902,phy-send,4,-1
30130902,phy-recv,4,-1
30130902,phy-recv,4,-1
30130903,phy-recv,4,-1
30130903,phy-recv,4,-1
30132022,mac-recv,4,-1
30132022,mac-recv,4,-1
30132023,mac-recv,4,-1
30132023,mac-recv,4,-1
30196931,mac-send,3,-1
30196931,phy-send,3,-1
30196932,phy-recv,3,-1
30196932,phy-recv,3,-1
30196933,phy-recv,3,-1
30196933,phy-recv,3,-1
30198052,mac-recv,3,-1
30198052,mac-recv,3,-1
30198053,mac-recv,3,-1
30198053,mac-recv,3,-1
30369961,mac-send,0,-1
30369961,phy-send,0,-1
30369961,phy-recv,0,-1
30369961,phy-recv,0,-1
30369962,phy-recv,0,-1
30369962,phy-recv,0,-1
30371081,mac-recv,0,-1
30371081,mac-recv,0,-1
30371082,mac-recv,0,-1
30371082,mac-recv,0,-1
30444035,mac-send,2,-1
30444035,phy-send,2,-1
30444036,phy-recv,2,-1
30444036,phy-recv,2,-1
30444037,phy-recv,2,-1
30444037,phy-recv,2,-1
30445156,mac-recv,2,-1
30445156,mac-recv,2,-1
30445157,mac-recv,2,-1
30445157,mac-recv,2,-1
31000000,udp-send,3,0
31009000,mac-send,-1,-1
31009000,phy-send,-1,-1
31009000,phy-recv,-1,-1
31009000,phy-recv,-1,-1
31009001,phy-recv,-1,-1
31009001,phy-recv,-1,-1
31009704,mac-recv,-1,-1
31009704,mac-send,-1,-1
31009704,mac-recv,-1,-1
31009705,mac-recv,-1,-1
31009705,mac-recv,-1,-1
31009754,phy-send,-1,-1
31009755,phy-recv,-1,-1
31009755,phy-recv,-1,-1
31009755,phy-recv,-1,-1
31009755,phy-recv,-1,-1
31010459,mac-recv,-1,-1
31010459,mac-send,3,0
31010469,phy-send,-1,-1
31010470,phy-recv,-1,-1
31010470,phy-recv,-1,-1
31010470,phy-recv,-1,-1
31010471,phy-recv,-1,-1
31011403,phy-send,3,0
31011404,phy-recv,3,0
31011404,phy-recv,3,0
31011404,phy-recv,3,0
31011405,phy-recv,3,0
31016108,mac-recv,3,0
31016108,udp-recv,3,0
31016118,phy-send,-1,-1
31016118,phy-recv,-1,-1
31016118,phy-recv,-1,-1
31016118,phy-recv,-1,-1
31016119,phy-recv,-1,-1
32000000,mac-send,2,4
32000000,phy-send,2,4
32000000,udp-send,2,4
32000000,phy-recv,2,4
32000000,phy-recv,2,4
32000001,phy-recv,2,4
32000001,phy-recv,2,4
32004705,mac-recv,2,4
32004705,udp-recv,2,4
32004715,phy-send,-1,-1
32004715,phy-recv,-1,-1
32004715,phy-recv,-1,-1
32004716,phy-recv,-1,-1
32004716,phy-recv,-1,-1
32048425,mac-send,1,-1
32048425,phy-send,1,-1
32048426,phy-recv,1,-1
32048426,phy-recv,1,-1
32048427,phy-recv,1,-1
32048427,phy-recv,1,-1
32049546,mac-recv,1,-1
32049546,mac-recv,1,-1
32049547,mac-recv,1,-1
32049547,mac-recv,1,-1
32224317,mac-send,2,-1
32224317,phy-send,2,-1
32224317,phy-recv,2,-1
32224317,phy-recv,2,-1
32224318,phy-recv,2,-1
32224318,phy-recv,2,-1
32225437,mac-recv,2,-1
32225437,mac-recv,2,-1
